Dataset,Model,MAE,RMSE,R2
synthetic_retail_forecast,Ridge Lag Model,307.3417263629812,380.95260776020933,0.6574577984080185
synthetic_retail_forecast,Gradient Boosting Lag Model,409.79298164888957,516.9222507473386,0.36930028271325244
