Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1
1,1,Logistic Regression,0.007829295999954411,1.0,1.0,1.0,1.0
1,1,Decision Tree,0.005887094999934561,1.0,1.0,1.0,1.0
1,1,Random Forest,0.16666225499989196,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
1,1,Gradient Boosting,0.02480651099995157,1.0,1.0,1.0,1.0
1,2,Logistic Regression,0.00739631500005089,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
1,2,Decision Tree,0.003616578999981357,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
1,2,Random Forest,0.13456066100002317,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
1,2,Gradient Boosting,0.02563392499996553,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
1,3,Logistic Regression,0.00666704800005391,0.9,0.9023569023569025,0.9,0.8997493734335839
1,3,Decision Tree,0.0038867660000505566,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
1,3,Random Forest,0.14306700099996306,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
1,3,Gradient Boosting,0.026696252999954595,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
1,4,Logistic Regression,0.006212514000026204,1.0,1.0,1.0,1.0
1,4,Decision Tree,0.0037935159998596646,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
1,4,Random Forest,0.1494545680000101,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
1,4,Gradient Boosting,0.024898869000026025,1.0,1.0,1.0,1.0
1,5,Logistic Regression,0.006392774999994799,0.9,0.9023569023569024,0.9,0.8997493734335839
1,5,Decision Tree,0.004667219999873851,0.9,0.9023569023569024,0.9,0.8997493734335839
1,5,Random Forest,0.1576753029999054,0.9,0.9023569023569024,0.9,0.8997493734335839
1,5,Gradient Boosting,0.029140398999970785,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
2,1,Logistic Regression,0.006375148999950397,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
