Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1,Dataset,Task,MAE,RMSE,R2
1,1,Logistic Regression,0.02461389999371022,0.9736842105263158,0.9739576213260425,0.9736842105263158,0.9737421322933159,breast_cancer,classification,,,
1,1,Decision Tree,0.024394100008066744,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,breast_cancer,classification,,,
1,1,Random Forest,0.4079875000170432,0.9649122807017544,0.9658276125095346,0.9649122807017544,0.965060378218273,breast_cancer,classification,,,
1,1,Gradient Boosting,0.13382930000079796,0.9473684210526315,0.9484193575726757,0.9473684210526315,0.9475905673274094,breast_cancer,classification,,,
1,2,Logistic Regression,0.02470429998356849,0.9473684210526315,0.9514695830485304,0.9473684210526315,0.9464615931721194,breast_cancer,classification,,,
1,2,Decision Tree,0.030123200005618855,0.868421052631579,0.8702579097315939,0.868421052631579,0.8656823862391516,breast_cancer,classification,,,
1,2,Random Forest,0.3511640999931842,0.9385964912280702,0.9409048938134812,0.9385964912280702,0.937745598564312,breast_cancer,classification,,,
1,2,Gradient Boosting,0.11507580001489259,0.8947368421052632,0.8948807917228969,0.8947368421052632,0.8936114090773207,breast_cancer,classification,,,
1,3,Logistic Regression,0.023391900002025068,0.9649122807017544,0.966759002770083,0.9649122807017544,0.9645092460881936,breast_cancer,classification,,,
1,3,Decision Tree,0.01977810001699254,0.8859649122807017,0.8853981106612685,0.8859649122807017,0.8850167747410855,breast_cancer,classification,,,
1,3,Random Forest,0.3222591000085231,0.9473684210526315,0.9487534626038782,0.9473684210526315,0.9467638691322903,breast_cancer,classification,,,
1,3,Gradient Boosting,0.12004559999331832,0.956140350877193,0.9589883800410116,0.956140350877193,0.9554882874504246,breast_cancer,classification,,,
1,4,Logistic Regression,0.02956980001181364,0.9912280701754386,0.9914320685434516,0.9912280701754386,0.9912489986793391,breast_cancer,classification,,,
1,4,Decision Tree,0.029142300016246736,0.9385964912280702,0.9407576913297737,0.9385964912280702,0.9390019435970705,breast_cancer,classification,,,
1,4,Random Forest,0.3253637000161689,0.9473684210526315,0.9539473684210527,0.9473684210526315,0.9479786422578186,breast_cancer,classification,,,
1,4,Gradient Boosting,0.1002777999965474,0.9649122807017544,0.9658578263841422,0.9649122807017544,0.9650731808230041,breast_cancer,classification,,,
1,5,Logistic Regression,0.022697400010656565,0.9911504424778761,0.9912733529990166,0.9911504424778761,0.991128074399212,breast_cancer,classification,,,
1,5,Decision Tree,0.02147170001990162,0.9292035398230089,0.9290883743484057,0.9292035398230089,0.9288318104419983,breast_cancer,classification,,,
1,5,Random Forest,0.3066218000021763,0.9734513274336283,0.9734813056095162,0.9734513274336283,0.9733842231976362,breast_cancer,classification,,,
1,5,Gradient Boosting,0.10239499999443069,0.9646017699115044,0.9648866529276274,0.9646017699115044,0.9644159052209991,breast_cancer,classification,,,
2,1,Logistic Regression,0.022980800014920533,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,breast_cancer,classification,,,
2,1,Decision Tree,0.02353810000931844,0.9649122807017544,0.9658276125095346,0.9649122807017544,0.965060378218273,breast_cancer,classification,,,
2,1,Random Forest,0.30067789999884553,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,breast_cancer,classification,,,
2,1,Gradient Boosting,0.09948289999738336,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615,breast_cancer,classification,,,
2,2,Logistic Regression,0.020410000026458874,0.9912280701754386,0.991349902534113,0.9912280701754386,0.991207141671538,breast_cancer,classification,,,
2,2,Decision Tree,0.019507999997586012,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615,breast_cancer,classification,,,
2,2,Random Forest,0.2986226000066381,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615,breast_cancer,classification,,,
2,2,Gradient Boosting,0.10349209999549203,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615,breast_cancer,classification,,,
2,3,Logistic Regression,0.022900199983268976,0.9736842105263158,0.9737105878629081,0.9736842105263158,0.9736164257756981,breast_cancer,classification,,,
2,3,Decision Tree,0.022894699999596924,0.9385964912280702,0.9390418397779577,0.9385964912280702,0.9387429907553746,breast_cancer,classification,,,
2,3,Random Forest,0.29641030001221225,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,breast_cancer,classification,,,
2,3,Gradient Boosting,0.09966730000451207,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,breast_cancer,classification,,,
2,4,Logistic Regression,0.028615000017452985,0.9736842105263158,0.9737105878629081,0.9736842105263158,0.9736164257756981,breast_cancer,classification,,,
2,4,Decision Tree,0.019221199996536598,0.9385964912280702,0.9390418397779577,0.9385964912280702,0.9387429907553746,breast_cancer,classification,,,
2,4,Random Forest,0.297623200021917,0.956140350877193,0.9568690958164642,0.956140350877193,0.9557756825927252,breast_cancer,classification,,,
2,4,Gradient Boosting,0.09957310001482256,0.9210526315789473,0.9211336032388665,0.9210526315789473,0.9203962286669054,breast_cancer,classification,,,
2,5,Logistic Regression,0.021151699998881668,0.9646017699115044,0.9648866529276274,0.9646017699115044,0.9644159052209991,breast_cancer,classification,,,
2,5,Decision Tree,0.02075270001660101,0.9026548672566371,0.9023131160515144,0.9026548672566371,0.9024088183913326,breast_cancer,classification,,,
2,5,Random Forest,0.3018334000080358,0.9203539823008849,0.9208773116161467,0.9203539823008849,0.920540055600474,breast_cancer,classification,,,
2,5,Gradient Boosting,0.10338839999167249,0.9380530973451328,0.9384970452474054,0.9380530973451328,0.9381978210225909,breast_cancer,classification,,,
3,1,Logistic Regression,0.020605800003977492,0.9824561403508771,0.9829367940398942,0.9824561403508771,0.9823691172375383,breast_cancer,classification,,,
3,1,Decision Tree,0.023010000004433095,0.9035087719298246,0.903366524419156,0.9035087719298246,0.9027631396730296,breast_cancer,classification,,,
3,1,Random Forest,0.3086738999991212,0.9122807017543859,0.9149039675355466,0.9122807017543859,0.9107693219535326,breast_cancer,classification,,,
3,1,Gradient Boosting,0.09749989997362718,0.9298245614035088,0.9308322087269456,0.9298245614035088,0.9290742727182139,breast_cancer,classification,,,
3,2,Logistic Regression,0.020272699999623,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,breast_cancer,classification,,,
3,2,Decision Tree,0.02453989998321049,0.9385964912280702,0.9390179995443153,0.9385964912280702,0.938731642017737,breast_cancer,classification,,,
3,2,Random Forest,0.31856780001544394,1.0,1.0,1.0,1.0,breast_cancer,classification,,,
3,2,Gradient Boosting,0.100464400020428,0.9736842105263158,0.9739576213260425,0.9736842105263158,0.9737421322933159,breast_cancer,classification,,,
3,3,Logistic Regression,0.021395099989604205,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,breast_cancer,classification,,,
3,3,Decision Tree,0.02100169999175705,0.9736842105263158,0.9754385964912281,0.9736842105263158,0.9738579758273159,breast_cancer,classification,,,
3,3,Random Forest,0.3038249000092037,1.0,1.0,1.0,1.0,breast_cancer,classification,,,
3,3,Gradient Boosting,0.09883550001541153,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,breast_cancer,classification,,,
3,4,Logistic Regression,0.021830500016221777,0.9824561403508771,0.9829302987197724,0.9824561403508771,0.9823623542652152,breast_cancer,classification,,,
