Dataset,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Runtime_Sec
iris_unsupervised,2,0.5817500491982808,0.5933126905762434,251.34933946458113,222.361704965023,0.03915039999992587
iris_unsupervised,3,0.45994823920518646,0.8335949464754334,241.90440170183172,139.82049635974974,0.04077399999368936
iris_unsupervised,4,0.38694104154427816,0.8698143723183841,207.265914315697,114.09254690403084,0.0428855000063777
iris_unsupervised,5,0.3459012795948778,0.9483171900518059,202.95152531739177,90.92751382392048,0.04564369999570772
iris_unsupervised,6,0.3170794019356902,1.0536773764650114,183.1091184274213,81.54439095511779,0.0491154000046663
wine_unsupervised,2,0.25931695553182543,1.5259965836052092,69.52333173902912,1658.7588524290954,0.03971840001759119
wine_unsupervised,3,0.2848589191898987,1.3891879777181648,70.94000800315118,1277.928488844642,0.041373100015334785
wine_unsupervised,4,0.26017035223704527,1.7968917400704765,56.181355187904686,1175.428333103347,0.0441300000238698
wine_unsupervised,5,0.2016190829407409,1.8083185918965696,46.952209001853,1109.5127392938243,0.0457546999969054
wine_unsupervised,6,0.23716725754166543,1.5543938572772371,41.700786272038606,1046.0023332143637,0.04888870002469048
digits_unsupervised,2,0.10563771488565678,2.9642914797008166,164.3207056689189,100423.8430343258,0.07102190001751296
digits_unsupervised,3,0.10528662100152755,2.7429589124733913,150.7818373955806,93842.48274851296,0.07414280000375584
digits_unsupervised,4,0.09538583630010021,2.5107380336107834,136.68500890123912,89213.96815678927,0.07235189998755231
digits_unsupervised,5,0.10229832879268369,2.252926661093493,129.093922762778,85096.05466801398,0.09350009998888709
digits_unsupervised,6,0.09878895847774911,2.261247545894454,122.5241245693625,81678.46669890723,0.12392489999183454
