Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1
1,1,Logistic Regression,0.007471556999917084,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168
1,1,Decision Tree,0.0042647339998893585,0.8888888888888888,0.8935185185185185,0.8888888888888888,0.8871406371406372
1,1,Random Forest,0.17662861300004806,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168
1,1,Gradient Boosting,0.03542619200015906,0.9444444444444444,0.949106449106449,0.9444444444444444,0.9435246235246235
1,2,Logistic Regression,0.01568298799998047,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168
1,2,Decision Tree,0.005073701000128494,0.8888888888888888,0.8879392212725546,0.8888888888888888,0.8872514619883041
1,2,Random Forest,0.1578512660000797,1.0,1.0,1.0,1.0
1,2,Gradient Boosting,0.034833494999929826,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.9444855967078188
1,3,Logistic Regression,0.042582960999880015,1.0,1.0,1.0,1.0
1,3,Decision Tree,0.0048257989999456186,0.9166666666666666,0.9358974358974359,0.9166666666666666,0.9171014492753622
1,3,Random Forest,0.15252272599991556,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168
1,3,Gradient Boosting,0.03423239100015962,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168
1,4,Logistic Regression,0.026077294999822698,1.0,1.0,1.0,1.0
1,4,Decision Tree,0.00484329500000058,0.8285714285714286,0.8371428571428572,0.8285714285714286,0.8290909090909091
1,4,Random Forest,0.22518593099994177,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428
1,4,Gradient Boosting,0.038357645999894885,0.8857142857142857,0.8907142857142857,0.8857142857142857,0.8843290043290044
1,5,Logistic Regression,0.0357684909999989,1.0,1.0,1.0,1.0
1,5,Decision Tree,0.004702712999915093,0.9142857142857143,0.9207142857142857,0.9142857142857143,0.9135629396070821
1,5,Random Forest,0.17520874899992123,1.0,1.0,1.0,1.0
1,5,Gradient Boosting,0.037070500000027096,1.0,1.0,1.0,1.0
2,1,Logistic Regression,0.022656889000018055,1.0,1.0,1.0,1.0
2,1,Decision Tree,0.004756775000032576,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
2,1,Random Forest,0.17135730599989074,1.0,1.0,1.0,1.0
2,1,Gradient Boosting,0.03434536999998272,0.9444444444444444,0.9513888888888888,0.9444444444444444,0.9437710437710438
2,2,Logistic Regression,0.026344867000034355,1.0,1.0,1.0,1.0
2,2,Decision Tree,0.004698416999872279,0.8611111111111112,0.8867521367521367,0.8611111111111112,0.8601514679946052
2,2,Random Forest,0.14643823400001565,0.9722222222222222,0.974074074074074,0.9722222222222222,0.972097284690988
2,2,Gradient Boosting,0.037493756000003486,0.9444444444444444,0.9513888888888888,0.9444444444444444,0.9449614374099499
