Dataset,Task,Model,MAE,RMSE,R2,Accuracy,F1
synthetic_retail_sales,regression,Gradient Boosting,5085.428541046238,6218.92585776795,0.17775274365136862,,
synthetic_retail_churn,classification,Gradient Boosting,,,,0.5583333333333333,0.5576870369079973
