Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1
1,1,Logistic Regression,0.008394665999958306,0.9736842105263158,0.9739576213260425,0.9736842105263158,0.9737421322933159
1,1,Decision Tree,0.011270781999883184,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088
1,1,Random Forest,0.15708273199993528,0.9649122807017544,0.9658276125095346,0.9649122807017544,0.965060378218273
1,1,Gradient Boosting,0.04820193799992012,0.9473684210526315,0.9484193575726757,0.9473684210526315,0.9475905673274094
1,2,Logistic Regression,0.03571709099992404,0.9473684210526315,0.9514695830485304,0.9473684210526315,0.9464615931721194
1,2,Decision Tree,0.010047312000097008,0.868421052631579,0.8702579097315939,0.868421052631579,0.8656823862391516
1,2,Random Forest,0.1696068250000735,0.9385964912280702,0.9409048938134812,0.9385964912280702,0.937745598564312
1,2,Gradient Boosting,0.046631487000013294,0.8947368421052632,0.8948807917228969,0.8947368421052632,0.8936114090773207
1,3,Logistic Regression,0.006764264000139519,0.9649122807017544,0.966759002770083,0.9649122807017544,0.9645092460881936
1,3,Decision Tree,0.008603609999909168,0.8859649122807017,0.8853981106612685,0.8859649122807017,0.8850167747410855
1,3,Random Forest,0.14236444600010145,0.9473684210526315,0.9487534626038782,0.9473684210526315,0.9467638691322903
1,3,Gradient Boosting,0.050174937000065256,0.956140350877193,0.9589883800410116,0.956140350877193,0.9554882874504246
1,4,Logistic Regression,0.027197511999929702,0.9912280701754386,0.9914320685434516,0.9912280701754386,0.9912489986793391
1,4,Decision Tree,0.011682370000016817,0.9385964912280702,0.9407576913297737,0.9385964912280702,0.9390019435970705
1,4,Random Forest,0.14584111400017719,0.9473684210526315,0.9539473684210527,0.9473684210526315,0.9479786422578186
1,4,Gradient Boosting,0.04765551700006654,0.9649122807017544,0.9658578263841422,0.9649122807017544,0.9650731808230041
1,5,Logistic Regression,0.007403095000199755,0.9911504424778761,0.9912733529990166,0.9911504424778761,0.991128074399212
1,5,Decision Tree,0.010986243999923317,0.9292035398230089,0.9290883743484057,0.9292035398230089,0.9288318104419983
1,5,Random Forest,0.15791192999995474,0.9734513274336283,0.9734813056095162,0.9734513274336283,0.9733842231976362
1,5,Gradient Boosting,0.047734145000049466,0.9646017699115044,0.9648866529276274,0.9646017699115044,0.9644159052209991
2,1,Logistic Regression,0.046143161999907534,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
