Repeat,Fold,Model,Runtime_Sec,MAE,RMSE,R2
1,1,Linear Regression,0.005310206999865841,42.794094679599944,53.85344583676593,0.4526027629719195
1,1,Decision Tree,0.0053578980000565934,48.72455831641678,61.82755781055031,0.2784942587030993
1,1,Random Forest,0.11545073299998876,43.9591011235955,55.038236167681085,0.4282520425547328
1,1,Gradient Boosting,0.017368521999969744,44.43887797084058,53.493382821356676,0.4598980660617348
1,2,Linear Regression,0.004018573999928776,41.582602747061,51.60075201602797,0.5732001497272168
1,2,Decision Tree,0.0052421340001274075,62.40555160122245,78.58183462693117,0.010179317277729805
1,2,Random Forest,0.11694296799987569,43.47898876404494,54.263373156228816,0.5280176364100992
1,2,Gradient Boosting,0.015816838000091593,46.185128925342774,56.81345258999054,0.48261413294665967
1,3,Linear Regression,0.003947677000041949,47.22331115957241,57.552635811361924,0.3914478512548887
1,3,Decision Tree,0.0047216620000654075,65.59879326225669,81.83142431690943,-0.23029025554174898
1,3,Random Forest,0.11319842099987909,51.37886363636364,62.634061728714066,0.27924358663582727
1,3,Gradient Boosting,0.01750597000000198,52.2781465806103,61.894665150856525,0.29616023600561214
1,4,Linear Regression,0.0038961400000516733,42.122355060340055,52.8950238921937,0.5842888825400095
1,4,Decision Tree,0.004844155000000683,65.01276419658774,83.82009336621239,-0.04389852596093924
1,4,Random Forest,0.11423098399995979,48.871818181818185,59.10132847299397,0.48101298753765165
1,4,Gradient Boosting,0.019830520000141405,49.65985845292732,58.45632003167466,0.49227920922094215
1,5,Linear Regression,0.004258544999856895,47.626368030324564,58.34284697314878,0.39081186479489016
1,5,Decision Tree,0.005021962999990137,62.014139766752,79.41575403703503,-0.1287285974048442
1,5,Random Forest,0.10506348099988827,45.77386363636364,56.421832069606786,0.4302680579975737
1,5,Gradient Boosting,0.01597813200010023,49.152051723578346,58.5242571823788,0.3870175775324406
2,1,Linear Regression,0.0038417880000451987,41.02966715065321,50.54525883415824,0.6083610957824861
2,1,Decision Tree,0.0047719070000766806,55.48023472212529,69.97152374436635,0.2494707195577165
2,1,Random Forest,0.11774110900000778,44.80483146067415,52.82434822284643,0.572246795769668
2,1,Gradient Boosting,0.01948571599996285,45.189970614206295,54.54275877536993,0.5439639464819706
2,2,Linear Regression,0.004191153999954622,45.40207853978879,58.27161880972885,0.4107431228353313
2,2,Decision Tree,0.0049342820000219945,56.8058632067059,72.45674038917402,0.08893769403505569
2,2,Random Forest,0.1185842310001135,46.316516853932576,57.264440708548975,0.43093674933856385
2,2,Gradient Boosting,0.01636174899999787,48.356452579191725,58.522771038084464,0.4056527509503126
2,3,Linear Regression,0.0037928140000076382,49.24464682115736,59.584241414401625,0.4135531634987847
2,3,Decision Tree,0.0048645060001035745,61.69602235145796,77.7359731352485,0.0018176231950312038
2,3,Random Forest,0.12201078500015683,48.90829545454546,60.47595779804492,0.3958687107715281
2,3,Gradient Boosting,0.016707167000049594,49.56392666396718,59.4356733304318,0.41647402507767084
2,4,Linear Regression,0.006583701999943514,40.91660622828612,52.35181516523143,0.4472015188755415
2,4,Decision Tree,0.009943566000174542,51.95438893988849,70.10374723827796,0.00874402510062211
2,4,Random Forest,0.12743038600001455,40.58261363636363,52.86963500613389,0.43621180659552516
2,4,Gradient Boosting,0.024758852000104525,44.72022674568366,53.71502552841052,0.4180376011379886
2,5,Linear Regression,0.004857376000018121,45.0432516974842,53.53947624411437,0.5353666528325193
2,5,Decision Tree,0.005240691999915725,60.09549343588341,77.64464693571628,0.022796129204012305
2,5,Random Forest,0.13300851100007094,53.516818181818174,64.1504323481498,0.3329455050516087
