Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1
1,1,Logistic Regression,0.024680854000052932,0.9694444444444444,0.9710060060060061,0.9694444444444444,0.9695257780167699
1,1,Decision Tree,0.022764212000083717,0.825,0.8315157304381442,0.825,0.825990970958758
1,1,Random Forest,0.1896850480000012,0.9833333333333333,0.9837128795462129,0.9833333333333333,0.9833697313255483
1,1,Gradient Boosting,0.7353861939998296,0.8861111111111111,0.889394916754045,0.8861111111111111,0.8863035195012449
1,2,Logistic Regression,0.02692152300005546,0.9666666666666667,0.9675008520751553,0.9666666666666667,0.9665334723384116
1,2,Decision Tree,0.02586463400007233,0.8694444444444445,0.8742659519985103,0.8694444444444445,0.8703496864624742
1,2,Random Forest,0.20714676600005077,0.9777777777777777,0.9784872542225482,0.9777777777777777,0.9778036210113571
1,2,Gradient Boosting,0.7305965770001421,0.9222222222222223,0.9279679488698208,0.9222222222222223,0.9221994773864692
1,3,Logistic Regression,0.026729231999979675,0.9777158774373259,0.9784273101614875,0.9777158774373259,0.9777059691049015
1,3,Decision Tree,0.025879483999915465,0.8328690807799443,0.8407727858229469,0.8328690807799443,0.8334009826766806
1,3,Random Forest,0.2124866500000735,0.9721448467966574,0.9730694509594231,0.9721448467966574,0.972082159958273
1,3,Gradient Boosting,0.8194469150000714,0.8941504178272981,0.8958431540604244,0.8941504178272981,0.8940503043460005
1,4,Logistic Regression,0.02265157899978476,0.9721448467966574,0.9726672381964862,0.9721448467966574,0.9720059299439954
1,4,Decision Tree,0.022392349000028844,0.8579387186629527,0.859784718227503,0.8579387186629527,0.8584164887471302
1,4,Random Forest,0.23500800800002253,0.9860724233983287,0.9865819887077767,0.9860724233983287,0.9859755662307523
1,4,Gradient Boosting,0.7660418509999545,0.9108635097493036,0.9133980699140002,0.9108635097493036,0.9111262043313564
1,5,Logistic Regression,0.024248180000085995,0.9693593314763231,0.9701839355849032,0.9693593314763231,0.9693882020242687
1,5,Decision Tree,0.0217277390001982,0.8161559888579387,0.8237739855248166,0.8161559888579387,0.8157240180365888
1,5,Random Forest,0.23389485300003798,0.9665738161559888,0.967331325073419,0.9665738161559888,0.9662916346312735
1,5,Gradient Boosting,0.757689462999906,0.8997214484679665,0.9056239483119706,0.8997214484679665,0.9012476801135045
2,1,Logistic Regression,0.025819342999966466,0.9805555555555555,0.980930930930931,0.9805555555555555,0.980548887829619
2,1,Decision Tree,0.026636468000106106,0.85,0.8546308718944293,0.85,0.850928133318358
2,1,Random Forest,0.21314384800007247,0.9805555555555555,0.9814218064218064,0.9805555555555555,0.9806199040674144
2,1,Gradient Boosting,0.7419331819999115,0.9222222222222223,0.9248041784496893,0.9222222222222223,0.9225891304598842
2,2,Logistic Regression,0.02235584499999277,0.95,0.953576711386309,0.95,0.950755344504176
2,2,Decision Tree,0.022466380999958346,0.8277777777777777,0.829311995947577,0.8277777777777777,0.8279515518460144
2,2,Random Forest,0.22636452899996584,0.9833333333333333,0.9836357190523858,0.9833333333333333,0.9833708491435676
2,2,Gradient Boosting,0.7182348409999122,0.9,0.9043341551236288,0.9,0.9005238125527981
2,3,Logistic Regression,0.02729785599990464,0.9693593314763231,0.9704827743238533,0.9693593314763231,0.9695445077296327
2,3,Decision Tree,0.025116916999877503,0.871866295264624,0.8765211494719487,0.871866295264624,0.8724011870097877
2,3,Random Forest,0.22755740599995988,0.9749303621169917,0.975518767558058,0.9749303621169917,0.97475168160562
2,3,Gradient Boosting,0.7432313080000768,0.8941504178272981,0.899449797436905,0.8941504178272981,0.894489317227262
2,4,Logistic Regression,0.04495891400006258,0.958217270194986,0.959353932649637,0.958217270194986,0.9580613832990049
2,4,Decision Tree,0.02317922199995337,0.8607242339832869,0.8691883809913962,0.8607242339832869,0.8614092725692438
2,4,Random Forest,0.2263408740000159,0.9693593314763231,0.9702954295475661,0.9693593314763231,0.9693416911283557
2,4,Gradient Boosting,0.7606328899998971,0.8885793871866295,0.893838588272992,0.8885793871866295,0.8879536699867233
2,5,Logistic Regression,0.04151661200012313,0.9721448467966574,0.9725846650051312,0.9721448467966574,0.9722556139936527
2,5,Decision Tree,0.026223820000041087,0.7994428969359332,0.7995344309934854,0.7994428969359332,0.7989290818001242
2,5,Random Forest,0.23819111700004214,0.9721448467966574,0.9733027595840967,0.9721448467966574,0.9721957741985221
2,5,Gradient Boosting,0.7585981689999244,0.883008356545961,0.8869164579729704,0.883008356545961,0.8829803311207929
3,1,Logistic Regression,0.029107948000046235,0.9722222222222222,0.9736416896943213,0.9722222222222222,0.9723551164851738
3,1,Decision Tree,0.026619186000061745,0.8333333333333334,0.8457456541865145,0.8333333333333334,0.8354154373207302
3,1,Random Forest,0.22452096100005292,0.975,0.9751416799004519,0.975,0.9747971635872634
3,1,Gradient Boosting,0.7467399139998179,0.8805555555555555,0.885697248842873,0.8805555555555555,0.8812791960709904
3,2,Logistic Regression,0.023409047000086503,0.9638888888888889,0.9668799505974609,0.9638888888888889,0.9642942711024086
